"stockid","stockid_code","region","comparison","stock_comparison","stock_comparison_code","interval","period","ty","MethodChange","B_recent","B_old","F_recent","F_old","Bmsy_recent","Bmsy_old","Fmsy_recent","Fmsy_old","B_by_Bmsy_recent","B_by_Bmsy_old","F_by_Fmsy_recent","F_by_Fmsy_old","OFL_ty_recent","OFL_ty_old","mu_B","mu_F","mu_Bmsy","mu_Fmsy","mu_B_by_Bmsy","mu_F_by_Fmsy","mu_OFL","ty_code","num_assess"
"GOLDREDV-VI-XII-XIV",3,"Europe (EU)",9,"GOLDREDV-VI-XII-XIV_9",30,2,1,2015,NA,500000,542000,0.1032,0.0952029520295203,220000,220000,0.097,0.097,1.44545454545455,1.61363636363636,1.1340206185567,0.989690721649485,46221.9969333637,50104.6446757662,500000,0.1032,220000,0.097,1.44545454545455,1.1340206185567,46221.9969333637,3,5
"GOLDREDV-VI-XII-XIV",3,"Europe (EU)",10,"GOLDREDV-VI-XII-XIV_10",22,1,1,2016,NA,479000,519000,0.124425887265136,0.115028901734104,220000,220000,0.097,0.097,1.42272727272727,1.58636363636364,1.29896907216495,1.14432989690722,44280.6730621624,47978.4328168315,479000,0.124425887265136,220000,0.097,1.42272727272727,1.29896907216495,44280.6730621624,4,5
"CUSKVa-XIV",1,"Europe (EU)",5,"CUSKVa-XIV_5",6,1,1,2014,NA,24300,22000,0.248148148148148,0.274090909090909,NA,NA,0.2,0.2,NA,NA,1.2,1.3,4100.61681133444,3712.49258639332,35400,0.174011299435028,6240,0.226,1.68269230769231,0.876106194690266,6668.36886895844,2,5
"CUSKVa-XIV",1,"Europe (EU)",6,"CUSKVa-XIV_6",7,2,1,2014,NA,34900,22000,0.178,0.274090909090909,6240,NA,0.226,0.2,1.81089743589744,NA,NA,1.3,6574.18286798446,3712.49258639332,35400,0.174011299435028,6240,0.226,1.68269230769231,0.876106194690266,6668.36886895844,2,5
"CUSKVa-XIV",1,"Europe (EU)",7,"CUSKVa-XIV_7",8,3,1,2014,NA,35400,22000,0.174011299435028,0.274090909090909,6240,NA,0.226,0.2,1.68269230769231,NA,0.876106194690266,1.3,6668.36886895844,3712.49258639332,35400,0.174011299435028,6240,0.226,1.68269230769231,0.876106194690266,6668.36886895844,2,5
"CUSKVa-XIV",1,"Europe (EU)",8,"CUSKVa-XIV_8",9,1,1,2015,NA,34400,22400,0.142,0.215178571428571,6240,NA,0.226,0.2,2.00320512820513,NA,NA,1.1,6479.99686701047,3779.99245160047,33400,0.144910179640719,6240,0.226,1.81089743589744,0.707964601769911,6291.62486506249,3,5
"CUSKVa-XIV",1,"Europe (EU)",9,"CUSKVa-XIV_9",10,2,1,2015,NA,33400,22400,0.144910179640719,0.215178571428571,6240,NA,0.226,0.2,1.81089743589744,NA,0.707964601769911,1.1,6291.62486506249,3779.99245160047,33400,0.144910179640719,6240,0.226,1.81089743589744,0.707964601769911,6291.62486506249,3,5
"CUSKVa-XIV",1,"Europe (EU)",10,"CUSKVa-XIV_10",2,1,1,2016,NA,32500,33600,0.107384615384615,0.105,6240,6240,0.226,0.226,1.93910256410256,2.21153846153846,0.530973451327434,NA,6122.09006330931,6329.29926545208,32500,0.107384615384615,6240,0.226,1.93910256410256,0.530973451327434,6122.09006330931,4,5
"HMACKIIa-IVa-Vb-VIa-VII-VIII",5,"Europe (EU)",5,"HMACKIIa-IVa-Vb-VIa-VII-VIII_5",46,1,1,2013,NA,1090000,965000,0.151376146788991,0.166839378238342,634577,634577,0.13,0.13,1.34577836889771,1.21655843183727,0.984615384615385,1.34615384615385,123590.87084187,109417.605837069,1190000,0.138655462184874,911587,0.108,1.19571692005261,1.13888888888889,113279.305308595,2,5
"HMACKIIa-IVa-Vb-VIa-VII-VIII",5,"Europe (EU)",6,"HMACKIIa-IVa-Vb-VIa-VII-VIII_6",47,2,1,2013,NA,920000,965000,0.179347826086957,0.166839378238342,634577,634577,0.13,0.13,1.09206605344978,1.21655843183727,1.19230769230769,1.34615384615385,104315.23043534,109417.605837069,1190000,0.138655462184874,911587,0.108,1.19571692005261,1.13888888888889,113279.305308595,2,5
