"stockid","mgmt","area","primary_country"
"HERRNS-IIIa-VIId","ICES","ICES 3a-4-7d","Norway"
"HERRNWATLC","NMFS","Northwestern Atlantic Coast","USA"
"HERRPRD","DFO","Prince Rupert District","Canada"
"HERRQCI","DFO","Queen Charlotte Islands","Canada"
"HERRRIGA","ICES","Gulf of Riga East of Gotland","Estonia"
"HERRSIRS","ICES","ICES 7a-g-h-j","Ireland"
"HERRSOG","DFO","Strait of Georgia","Canada"
"HERRVIa","ICES","West of Scotland","Great Britain"
"HERRVIaVIIbc","ICES","ICES 5a-7bc","Great Britain"
"HERRWCVANI","DFO","West Coast of Vancouver Island","Canada"
"HMACKIIa-IVa-Vb-VIa-VII-VIII","ICES","ICES 2a-4a-5b-6a-7-8","Netherlands"
"HMACKIIIa-IVbc-VIId","ICES","ICES 3a-4bc-7d","Netherlands"
"HMACKIXa","ICES","Portugese Waters -East","Portugal"
"HOKIENZ","MFish","Eastern New Zealand","New Zealand"
"HOKIWNZ","MFish","Western New Zealand","New Zealand"
"JMACKPJPN","FAJ","Pacific Coast of Japan","Japan"
"JMACKTSST","FAJ","Tsushima Strait","Japan"
"KELPGREENLINGORECOAST","NMFS","Oregon Coast","USA"
"LINGI-II","ICES","North-East Arctic","Norway"
"LINGNEATL","ICES","Northeast Atlantic","Norway"
"LINGVa","ICES","Iceland Grounds","Iceland"
"LINGVb","ICES","Faroe Grounds","Faroe Islands"
"LOBSTERLFA41","DFO","Lobster Fishing Area 41","Canada"
"LSDOGIIIa-IV-VIId","ICES","ICES 3a-4-7d","France"
"LSDOGVI-VIIabcefghij","ICES","ICES 6-7abcefghij","France"
"LSDOGVIIIabd","ICES","ICES 8abd","France"
"LSDOGVIIIc-IXa","ICES","ICES 8c-9a","Portugal"
"LSOLEIIIa-IV-VIId","ICES","ICES 3a-4-7d","Great Britain"
"MACKNEICES","ICES","ICES Northeast Atlantic","Norway"
"MACKNWATLSA3-4","DFO","Northwest Atlantic (NAFO Subareas 3 and 4)","Canada"
"MEG8c9a","ICES","ICES 8c-9a","Portugal"
"MEGSPPIVa-VIa","ICES","ICES 4a-6a","Great Britain"
"MEGSPPVIb","ICES","Rockall Bank","Spain"
"MEGVII-VIIIabd","ICES","ICES 7-8abd","France"
"MENATGM","NMFS","Gulf of Mexico","USA"
"MENATLAN","NMFS","Atlantic","USA"
"MONKGOMNGB","NMFS","Gulf of Maine / Northern Georges Bank","USA"
"MONKSGBMATL","NMFS","Southern Georges Bank / Mid-Atlantic","USA"
"MORWONGESE","AFMA","Eastern half of Southeast Australia","Australia"
"MORWONGWSE","AFMA","Western half of Southeast Australia","Australia"
"MUTSNAPSATLCGM","NMFS","Southern Atlantic coast and Gulf of Mexico","USA"
"NEPHFU10","ICES","Noup (FU 10)","Great Britain"
"NEPHFU11","ICES","North Minch (FU 11)","Great Britain"
"NEPHFU12","ICES","South Minch (FU 12)","Great Britain"
"NEPHFU13","ICES","Firth of Clyde and Sound of Jura (FU 13)","Great Britain"
"NEPHFU14","ICES","Irish Sea East (FU 14)","Great Britain"
"NEPHFU15","ICES","Irish Sea West (FU 15)","Great Britain"
"NEPHFU16","ICES","Porcupine Bank (FU 16)","Ireland"
"NEPHFU17","ICES","Aran Grounds (FU 17)","Ireland"
"NEPHFU19","ICES","South East and West of IRL (FU 19)","Ireland"
"NEPHFU2021","ICES","Labadie, Jones and Cockburn (FU 20-21)","Ireland"
"NEPHFU22","ICES","Smalls (FU 22)","Ireland"
"NEPHFU2829","ICES","South-West and South Portugal (FU 28-29)","Portugal"
"NEPHFU3-4","ICES","Skagerak Kattegat (FU 3-4)","Denmark"
"NEPHFU30","ICES","Gulf of Cadiz (FU 30)","Portugal"
"NEPHFU32","ICES","Norwegian Deeps (FU 32)","Great Britain"
"NEPHFU33","ICES","Off Horn Reef (FU 33)","Great Britain"
"NEPHFU34","ICES","Devils Hole (FU 34)","Great Britain"
"NEPHFU5","ICES","Botney Cut - Silver Pit (FU 5)","Great Britain"
"NEPHFU6","ICES","Farn Deeps (FU 6)","Great Britain"
"NEPHFU7","ICES","Fladen Ground (FU 7)","Great Britain"
"NEPHFU8","ICES","Firth of Forth (FU 8)","Great Britain"
"NEPHFU9","ICES","Moray Firth (FU 9)","Great Britain"
"NEPHIV","ICES","North Sea","Great Britain"
"NEPHMEDGSA5","GFCM","Balearic Island","Spain"
"NEPHMEDGSA6","GFCM","Northern Spain","Spain"
"NEPHMEDGSA9","GFCM","Ligurian and North Tyrrhenian Sea","Italy"
"NEPHVIa","ICES","West of Scotland","Great Britain"
"NEPHVII","ICES","ICES 7","Spain"
"NEPHVIIIab","ICES","ICES 8ab","France"
"NPOUTIIIa-IV","ICES","ICES 3a-4","Denmark"
"NROCKBSAI","NMFS","Bering Sea and Aleutian Islands","USA"
"NROCKGA","NMFS","Gulf of Alaska","USA"
"NRSOLEEBSAI","NMFS","Eastern Bering Sea and Aleutian Islands","USA"
"NZLINGLIN3-4","MFish","New Zealand Areas LIN 3 and 4","New Zealand"
"NZLINGLIN5-6","MFish","New Zealand Areas LIN 5 and 6","New Zealand"
"NZLINGLIN72","MFish","New Zealand Areas LIN 72","New Zealand"
"NZLINGLIN7WC","MFish","New Zealand Areas LIN 7WC-WCSI","New Zealand"
"OFLOUNECS","FAJ","East China Sea","Japan"
"OFLOUNNSJ","FAJ","Sea of Japan North","Japan"
"OFLOUNPAC","FAJ","Pacific Ocean","Japan"
"OFLOUNSETO","FAJ","Inland Sea of Japan","Japan"
"OPOUTNWATLC","NMFS","Northwestern Atlantic Coast","USA"
"OROUGHYNZMEC","MFish","New Zealand Mid East Coast","New Zealand"
"OROUGHYSE","AFMA","Southeast Australia","Australia"
"PACBTUNA","ISC","Pacific Ocean","Japan"
"PANCHPERUNC","IMARPE","North-Central Peruvian coast","Peru"
"PANDAL4RST","DFO","Gulf of St. Lawrence","Canada"
"PANDALI-II","ICES","North-East Arctic","Norway"
"PANDALIIIaW-IVaE","ICES","ICES 3a(west)-4a(east)","Norway"
"PANDALSFA13-15","DFO","Eastern Scotian Shelf (SFA 13-15)","Canada"
