"stockid","region","council"
"WHITVIIek","Europe (EU)","Europe (EU)"
"WINFLOUN5Z","US East Coast","NEFMC"
"WITFLOUN5Y","US East Coast","NEFMC"
"WPOLLAI","US Alaska","NPFMC"
"WPOLLGA","US Alaska","NPFMC"
"WROCKPCOAST","US West Coast","PFMC"
"WSHRIMPGM","US Southeast and Gulf","GMFMC"
"YELLCCODGOM","US East Coast","NEFMC"
"YellowtailSnapper","US South Atlantic","SAFMC"
"YELLSNEMATL","US East Coast","NEFMC"
"YEYEROCKPCOAST","US West Coast","PFMC"
"YFINATL","Atlantic Ocean","AOHS"
"YSOLEBSAI","US Alaska","NPFMC"
