"stockid","region","council","mgmt","area","primary_country"
"PCODHS","Canada West Coast","Canada West Coast","DFO","Hecate Strait","Canada"
"PERCHEBSAI","US Alaska","NPFMC","NMFS","Eastern Bering Sea and Aleutian Islands","USA"
"PHAKEPCOAST","US West Coast","US non-federal","NMFS","Pacific Coast","USA"
"PILCHPJPN","Japan","Japan","FAJ","Pacific Coast of Japan","Japan"
"PILCHTSST","Japan","Japan","FAJ","Tsushima Strait","Japan"
"PINKSHRIMPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"PLAIC2123","Europe (EU)","Europe (EU)","ICES","Subdivisions 21-23","Denmark"
"PLAIC7d","Europe (EU)","Europe (EU)","ICES","Eastern English Channel","France"
"PLAICECHW","Europe (EU)","Europe (EU)","ICES","Western English Channel","Great Britain"
"PLAICIS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Great Britain"
"PLAICNS","Europe (EU)","Europe (EU)","ICES","North Sea","Netherlands"
"POLL5YZ","US East Coast","NEFMC","NMFS","Gulf of Maine / Georges Bank","USA"
"POLLFAPL","Europe (non-EU)","Europe (non-EU)","ICES","Faroe Plateau","Faroe Islands"
"POLLIEG","Europe (non-EU)","Europe (non-EU)","ICES","Iceland Grounds","Iceland"
"POLLNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway"
"POLLNS-VI-IIIa","Europe (EU)","Europe (EU)","ICES","ICES 3a-4-6","Iceland"
"POPERCHGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
"PSHRMPMEDGSA6","Mediterranean-Black Sea","MBS","GFCM","Northern Spain","Spain"
"PSOLEPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA"
"PTOOTHFISHCH","South America","South America","SUBPESCA-CFP","South Chile Argentina","Chile"
"PTOOTHFISHPEI","South Africa","South Africa","DETMCM","South Africa Subantarctic Prince Edward Islands","South Africa"
"QUAHATLC","US East Coast","MAFMC","NMFS","Atlantic Coast","USA"
"RBRMECS","Japan","Japan","FAJ","East China Sea","Japan"
"RBRMSETOE","Japan","Japan","FAJ","Inland Sea of Japan (East)","Japan"
"RBRMSETOW","Japan","Japan","FAJ","Inland Sea of Japan (West)","Japan"
"RDSHRMPMEDGSA6","Mediterranean-Black Sea","MBS","GFCM","Northern Spain","Spain"
"REDDEEPI-II","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway"
"REDFEAUS","Australia","Australia","AFMA","Eastern Australia","Australia"
"REDFISHSPP3M","Canada East Coast","Canada East Coast","NAFO","Flemish Cap","Russia"
"RedGrouper","US South Atlantic","SAFMC",NA,NA,NA
"RedPorgy","US South Atlantic","SAFMC",NA,NA,NA
"RedSnapper","US South Atlantic","SAFMC",NA,NA,NA
"REXSOLEGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA"
"RGROUPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"RKCRABBB","US Alaska","NPFMC","NMFS","Bristol Bay","USA"
"RROCKLOBSTERCRA1","New Zealand","New Zealand","MFish","New Zealand Area CRA1","New Zealand"
"RROCKLOBSTERCRA2","New Zealand","New Zealand","MFish","New Zealand Area CRA2","New Zealand"
"RROCKLOBSTERCRA3","New Zealand","New Zealand","MFish","New Zealand Area CRA3","New Zealand"
"RROCKLOBSTERCRA4","New Zealand","New Zealand","MFish","New Zealand Area CRA4","New Zealand"
"RROCKLOBSTERCRA5","New Zealand","New Zealand","MFish","New Zealand Area CRA5","New Zealand"
"RROCKLOBSTERCRA7","New Zealand","New Zealand","MFish","New Zealand Area CRA7","New Zealand"
"RROCKLOBSTERCRA8","New Zealand","New Zealand","MFish","New Zealand Area CRA8","New Zealand"
"RSHRMPMEDGSA1","Mediterranean-Black Sea","MBS","GFCM","Northern Alboran Sea","Spain"
"RSNAPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA"
"RSOLEHSTR","Canada West Coast","Canada West Coast","DFO","Hecate Strait","Canada"
"SAABALONESA","South Africa","South Africa","DETMCM","South Africa","South Africa"
"SABLEFEBSAIGA","US Alaska","NPFMC","NMFS","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","USA"
"SABLEFPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA"
"SABluelineTilefish","US South Atlantic","SAFMC",NA,NA,NA
"SARDMEDGSA17-18","Mediterranean-Black Sea","MBS","GFCM","Adriatic Sea (GSA 17,18)","Italy"
"SARDMEDGSA6","Mediterranean-Black Sea","MBS","GFCM","Northern Spain","Spain"
"SARDPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA"
"SARDPVIIIc-IXa","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Portugal"
"SARDSA","South Africa","South Africa","DETMCM","South Africa","South Africa"
"SAURNWPAC","Japan","Japan","FAJ","Northwest Pacific","Japan"
"SBARSHARATL","US Southeast and Gulf","AOHS","NMFS","Atlantic","USA"
"SBT","Indian Ocean","IOHS","CCSBT","Southern Oceans","Japan"
