"stockid","region","council","mgmt","area","primary_country","lme_number"
"MORWONGESE","Australia","Australia","AFMA","Eastern half of Southeast Australia","Australia",42
"MORWONGWSE","Australia","Australia","AFMA","Western half of Southeast Australia","Australia",43
"MuttonSnapper","US South Atlantic","SAFMC",NA,NA,NA,6
"NEPHMEDGSA5","Mediterranean-Black Sea","MBS","GFCM","Balearic Island","Spain",26
"NEPHMEDGSA9","Mediterranean-Black Sea","MBS","GFCM","Ligurian and North Tyrrhenian Sea","Italy",26
"NPOUTIIIa-IV","Europe (EU)","Europe (EU)","ICES","ICES 3a-4","Denmark",22
"NROCKBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA",1
"NROCKGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA",2
"NRSOLEEBSAI","US Alaska","NPFMC","NMFS","Eastern Bering Sea and Aleutian Islands","USA",1
"OFLOUNECS","Japan","Japan","FAJ","East China Sea","Japan",47
"OFLOUNNSJ","Japan","Japan","FAJ","Sea of Japan North","Japan",50
"OFLOUNPAC","Japan","Japan","FAJ","Pacific Ocean","Japan",49
"OFLOUNSETO","Japan","Japan","FAJ","Inland Sea of Japan","Japan",50
"OROUGHYSE","Australia","Australia","AFMA","Southeast Australia","Australia",42
"PACBTUNA","Pacific Ocean","POHS","ISC","Pacific Ocean","Japan",-99
"PANCHPERUNC","South America","South America","IMARPE","North-Central Peruvian coast","Peru",13
"PATGRENADIERCH","South America","South America","SUBPESCA","Central-Southern Chile","Chile",13
"PATGRENADIERSARG","South America","South America","CFP","Southern Argentina","Argentina",14
"PAUANPAU5A","New Zealand","New Zealand","MFish","NZ Area North PAUA 5A","New Zealand",46
"PAUAPAU5B","New Zealand","New Zealand","MFish","New Zealand Area PAU 5B (Stewart Island)","New Zealand",46
"PAUAPAU5D","New Zealand","New Zealand","MFish","New Zealand Area PAU 5D (Otago)","New Zealand",46
"PAUAPAU7","New Zealand","New Zealand","MFish","New Zealand Area PAU 7 (Marlborough)","New Zealand",46
"PAUASPAU5A","New Zealand","New Zealand","MFish","NZ Area South PAUA 5A","New Zealand",46
"PCODGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA",2
"PCODHS","Canada West Coast","Canada West Coast","DFO","Hecate Strait","Canada",2
"PERCHEBSAI","US Alaska","NPFMC","NMFS","Eastern Bering Sea and Aleutian Islands","USA",1
"PHAKEPCOAST","US West Coast","US non-federal","NMFS","Pacific Coast","USA",3
"PILCHPJPN","Japan","Japan","FAJ","Pacific Coast of Japan","Japan",49
"PILCHTSST","Japan","Japan","FAJ","Tsushima Strait","Japan",50
"PINKSHRIMPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA",5
"PLAIC2123","Europe (EU)","Europe (EU)","ICES","Subdivisions 21-23","Denmark",23
"PLAIC7d","Europe (EU)","Europe (EU)","ICES","Eastern English Channel","France",24
"PLAICECHW","Europe (EU)","Europe (EU)","ICES","Western English Channel","Great Britain",24
"PLAICIS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Great Britain",24
"PLAICNS","Europe (EU)","Europe (EU)","ICES","North Sea","Netherlands",22
"POLL5YZ","US East Coast","NEFMC","NMFS","Gulf of Maine / Georges Bank","USA",7
"POLLFAPL","Europe (non-EU)","Europe (non-EU)","ICES","Faroe Plateau","Faroe Islands",60
"POLLIEG","Europe (non-EU)","Europe (non-EU)","ICES","Iceland Grounds","Iceland",59
"POLLNEAR","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway",20
"POLLNS-VI-IIIa","Europe (EU)","Europe (EU)","ICES","ICES 3a-4-6","Iceland",22
"POPERCHGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA",2
"PSHRMPMEDGSA6","Mediterranean-Black Sea","MBS","GFCM","Northern Spain","Spain",25
"PSOLEPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA",3
"PTOOTHFISHCH","South America","South America","SUBPESCA-CFP","South Chile Argentina","Chile",13
"PTOOTHFISHPEI","South Africa","South Africa","DETMCM","South Africa Subantarctic Prince Edward Islands","South Africa",-96
"QUAHATLC","US East Coast","MAFMC","NMFS","Atlantic Coast","USA",7
"RBRMECS","Japan","Japan","FAJ","East China Sea","Japan",47
"RBRMSETOE","Japan","Japan","FAJ","Inland Sea of Japan (East)","Japan",50
"RBRMSETOW","Japan","Japan","FAJ","Inland Sea of Japan (West)","Japan",50
"RDSHRMPMEDGSA6","Mediterranean-Black Sea","MBS","GFCM","Northern Spain","Spain",25
"REDDEEPI-II","Europe (non-EU)","Europe (non-EU)","ICES","North-East Arctic","Norway",20
"REDFEAUS","Australia","Australia","AFMA","Eastern Australia","Australia",40
"REDFISHSPP3M","Canada East Coast","Canada East Coast","NAFO","Flemish Cap","Russia",9
"RedGrouper","US South Atlantic","SAFMC",NA,NA,NA,6
"RedPorgy","US South Atlantic","SAFMC",NA,NA,NA,6
"RedSnapper","US South Atlantic","SAFMC",NA,NA,NA,6
"REXSOLEGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA",2
"RGROUPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA",5
"RKCRABBB","US Alaska","NPFMC","NMFS","Bristol Bay","USA",1
"RROCKLOBSTERCRA1","New Zealand","New Zealand","MFish","New Zealand Area CRA1","New Zealand",46
"RROCKLOBSTERCRA2","New Zealand","New Zealand","MFish","New Zealand Area CRA2","New Zealand",46
"RROCKLOBSTERCRA3","New Zealand","New Zealand","MFish","New Zealand Area CRA3","New Zealand",46
"RROCKLOBSTERCRA4","New Zealand","New Zealand","MFish","New Zealand Area CRA4","New Zealand",46
"RROCKLOBSTERCRA5","New Zealand","New Zealand","MFish","New Zealand Area CRA5","New Zealand",46
"RROCKLOBSTERCRA7","New Zealand","New Zealand","MFish","New Zealand Area CRA7","New Zealand",46
"RROCKLOBSTERCRA8","New Zealand","New Zealand","MFish","New Zealand Area CRA8","New Zealand",46
"RSHRMPMEDGSA1","Mediterranean-Black Sea","MBS","GFCM","Northern Alboran Sea","Spain",26
"RSNAPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA",5
"RSOLEHSTR","Canada West Coast","Canada West Coast","DFO","Hecate Strait","Canada",2
"SAABALONESA","South Africa","South Africa","DETMCM","South Africa","South Africa",29
"SABLEFEBSAIGA","US Alaska","NPFMC","NMFS","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","USA",1
"SABLEFPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA",3
"SABluelineTilefish","US South Atlantic","SAFMC",NA,NA,NA,6
"SARDMEDGSA17-18","Mediterranean-Black Sea","MBS","GFCM","Adriatic Sea (GSA 17,18)","Italy",62
"SARDMEDGSA6","Mediterranean-Black Sea","MBS","GFCM","Northern Spain","Spain",25
"SARDPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA",3
"SARDPVIIIc-IXa","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Portugal",25
"SARDSA","South Africa","South Africa","DETMCM","South Africa","South Africa",29
"SAURNWPAC","Japan","Japan","FAJ","Northwest Pacific","Japan",49
"SBARSHARATL","US Southeast and Gulf","AOHS","NMFS","Atlantic","USA",-98
"SBT","Indian Ocean","IOHS","CCSBT","Southern Oceans","Japan",-97
"SBWHITACIR","New Zealand","New Zealand","MFish","Campbell Island Rise","New Zealand",46
"SBWHITARGS","South America","South America","CFP","Southern Argentina","Argentina",14
"SBWHITCH","South America","South America","SUBPESCA","Central-Southern Chile","Chile",13
"SCALLGB","Canada East Coast","Canada East Coast","DFO","Georges Bank","Canada",7
"SCMPBP","New Zealand","New Zealand","MFish","Bay of Plenty","New Zealand",46
"SCMPWHB","New Zealand","New Zealand","MFish","Wairarapa/Hawke Bay","New Zealand",46
"SCUPNWATLC","US East Coast","MAFMC","NMFS","Northwestern Atlantic Coast","USA",7
"SDOGATLC","US East Coast","MAFMC","NMFS","Atlantic Coast","USA",7
"SEELNSSA1","Europe (EU)","Europe (EU)","ICES","Sandeel Area 1","Denmark",22
"SEELNSSA2","Europe (EU)","Europe (EU)","ICES","Sandeel Area 2","Denmark",22
"SEELNSSA3","Europe (EU)","Europe (EU)","ICES","Sandeel Area 3","Denmark",22
"SEELNSSA4","Europe (EU)","Europe (EU)","ICES","Sandeel Area 4","Denmark",22
"SFLOUNMATLC","US East Coast","MAFMC","NMFS","Mid-Atlantic Coast","USA",7
"SILVERFISHSE","Australia","Australia","AFMA","Southeast Australia","Australia",42
"SMOOTHOREOCR","New Zealand","New Zealand","MFish","Chatham Rise","New Zealand",46
"SMULLMEDGSA9","Mediterranean-Black Sea","MBS","GFCM","Ligurian and North Tyrrhenian Sea","Italy",26
"SNOWCRABBS","US Alaska","NPFMC","NMFS","Bering Sea","USA",1
"SNOWCRABSGSL","Canada East Coast","Canada East Coast","DFO","Southern Gulf of St. Lawrence","Canada",8
"SnowyGrouper","US South Atlantic","SAFMC",NA,NA,NA,6
"SOLECS","Europe (EU)","Europe (EU)","ICES","Celtic Sea","Belgium",24
"SOLEIIIa-2224","Europe (EU)","Europe (EU)","ICES","ICES 22-24-3a","Denmark",22
"SOLEIS","Europe (EU)","Europe (EU)","ICES","Irish Sea","Belgium",24
"SOLENS","Europe (EU)","Europe (EU)","ICES","North Sea","Netherlands",22
"SOLEVIId","Europe (EU)","Europe (EU)","ICES","Eastern English Channel","France",24
"SOLEVIIe","Europe (EU)","Europe (EU)","ICES","Western English Channel","Great Britain",24
"SOLEVIIIab","Europe (EU)","Europe (EU)","ICES","ICES 8ab","France",25
"SOLMEDGSA17","Mediterranean-Black Sea","MBS","GFCM","Northern Adriatic Sea","Italy",26
"SOUTHHAKECH","South America","South America","SUBPESCA","Central-Southern Chile","Chile",13
"SOUTHHAKESA","New Zealand","New Zealand","MFish","Sub-Antarctic","New Zealand",46
"SpanishMackerel","US South Atlantic","SAFMC",NA,NA,NA,6
"SPANMACKSETO","Japan","Japan","FAJ","Inland Sea of Japan","Japan",50
"SPHAKECH","South America","South America","SUBPESCA","Central-Southern Chile","Chile",13
"SPRAT22-32","Europe (EU)","Europe (EU)","ICES","Baltic Areas 22-32","Poland",23
"SPRATNS","Europe (EU)","Europe (EU)","ICES","North Sea","Denmark",22
"SPRBLKGSA29","Mediterranean-Black Sea","MBS","GFCM","Black Sea","Ukraine",62
"SPURDNEATL","Europe (EU)","Europe (EU)","ICES","Northeast Atlantic","Norway",24
"SRAKEROCKBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA",1
"SSARDCH","South America","South America","SUBPESCA","Central-Southern Chile","Chile",13
"SSLOBSTERSASC","South Africa","South Africa","DETMCM","South Africa South coast","South Africa",30
"SSTHORNHPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA",3
"STMARLINWCNPAC","Pacific Ocean","POHS","ISC","Western and Central North Pacific","Japan",-99
"SURFMATLC","US East Coast","MAFMC","NMFS","Mid-Atlantic Coast","USA",7
"SWHITSE","Australia","Australia","AFMA","Southeast Australia","Australia",42
"TANNERCRABBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA",1
"TIGERFLATSE","Australia","Australia","AFMA","Southeast Australia","Australia",42
"Tilefish","US South Atlantic","SAFMC",NA,NA,NA,6
"TURBLKGSA29","Mediterranean-Black Sea","MBS","GFCM","Black Sea","Turkey",62
"Vermilionsnapper","US South Atlantic","SAFMC",NA,NA,NA,6
"VSNAPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA",5
"WANGLVIIIc-IXa","Europe (EU)","Europe (EU)","ICES","ICES 8c-9a","Portugal",25
"WAREHOUESE","Australia","Australia","AFMA","Eastern half of Southeast Australia","Australia",42
"WAREHOUWSE","Australia","Australia","AFMA","Western half of Southeast Australia","Australia",43
"WHAKEGBGOM","US East Coast","NEFMC","NMFS","Gulf of Maine / Georges Bank","USA",7
"WHITMEDGSA29","Mediterranean-Black Sea","MBS","GFCM","Black Sea","Turkey",62
"WHITNS-VIId","Europe (EU)","Europe (EU)","ICES","ICES 4-7d","Great Britain",22
"WHITVIa","Europe (EU)","Europe (EU)","ICES","West of Scotland","Great Britain",24
"WHITVIIa","Europe (EU)","Europe (EU)","ICES","Irish Sea","Great Britain",24
"WHITVIIek","Europe (EU)","Europe (EU)","ICES","Celtic Sea","France",24
"WINFLOUN5Z","US East Coast","NEFMC","NMFS","Georges Bank","USA",7
"WITFLOUN5Y","US East Coast","NEFMC","NMFS","Gulf of Maine","USA",7
"WPOLLAI","US Alaska","NPFMC","NMFS","Aleutian Islands","USA",1
"WPOLLGA","US Alaska","NPFMC","NMFS","Gulf of Alaska","USA",2
"WROCKPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA",3
"WSHRIMPGM","US Southeast and Gulf","GMFMC","NMFS","Gulf of Mexico","USA",5
"YELLCCODGOM","US East Coast","NEFMC","NMFS","Cape Cod / Gulf of Maine","USA",7
"YellowtailSnapper","US South Atlantic","SAFMC",NA,NA,NA,6
"YELLSNEMATL","US East Coast","NEFMC","NMFS","Southern New England /Mid Atlantic","USA",7
"YEYEROCKPCOAST","US West Coast","PFMC","NMFS","Pacific Coast","USA",3
"YFINATL","Atlantic Ocean","AOHS","ICCAT","Atlantic Ocean","Spain",-98
"YSOLEBSAI","US Alaska","NPFMC","NMFS","Bering Sea and Aleutian Islands","USA",1
